#{"t_start": 1730025920.3390644, "env_id": "w/TetrisEnv"}
r,l,t
222.0,111,1.248753
273.0,81,1.283414
289.0,131,1.343735
241.0,141,1.408456
365.0,158,1.475629
233.0,120,1.532063
337.0,133,1.589509
177.0,74,1.623668
254.0,108,8.253047
191.0,78,8.342222
215.0,77,8.392399
284.0,43,8.424504
187.0,63,8.464838
228.0,53,8.498756
212.0,96,8.563162
261.0,82,8.616056
218.0,60,8.658396
269.0,92,8.717229
267.0,109,8.790172
309.0,124,8.873531
266.0,94,8.937075
312.0,86,18.166699
207.0,65,18.207492
205.0,65,18.235529
212.0,87,18.272993
223.0,69,18.305694
199.0,34,18.32054
185.0,48,18.341354
232.0,63,18.368721
193.0,50,18.393319
223.0,113,18.442021
155.0,56,18.466244
195.0,64,18.496548
171.0,48,18.517463
186.0,61,18.543563
249.0,81,18.578396
196.0,59,26.14939
174.0,41,26.244176
175.0,58,26.274971
279.0,70,26.30476
271.0,21,26.31385
178.0,44,26.332345
242.0,43,26.355832
152.0,46,26.375448
241.0,55,26.398702
220.0,43,26.416856
252.0,55,26.439723
259.0,58,26.467222
222.0,33,26.481487
205.0,57,26.506164
241.0,85,26.542121
187.0,42,26.562661
167.0,43,26.580939
342.0,88,26.617983
209.0,68,26.646425
273.0,53,26.671716
