#{"t_start": 1730000642.71511, "env_id": "w/TetrisEnv"}
r,l,t
103.0,131,0.551627
122.0,96,0.575061
123.0,122,0.606109
-15.0,151,0.649104
159.0,118,0.680275
148.0,127,0.711263
52.0,63,0.729381
51.0,124,0.760438
186.0,93,2.914911
209.0,51,2.969646
163.0,67,3.01723
142.0,77,3.072623
144.0,83,3.127719
105.0,74,3.178452
156.0,80,3.224979
101.0,101,3.273423
96.0,108,3.317159
128.0,48,3.335699
143.0,89,3.370585
194.0,52,3.389564
121.0,111,3.430719
126.0,81,3.460277
193.0,65,5.197532
159.0,37,5.231901
133.0,70,5.288012
167.0,104,5.369579
129.0,54,5.411262
270.0,32,5.434711
121.0,34,5.459219
75.0,182,5.57315
173.0,62,5.602002
183.0,31,5.617912
181.0,61,5.643514
128.0,55,5.66603
197.0,38,5.68099
182.0,83,5.712485
67.0,90,5.747601
60.0,97,7.07849
197.0,38,7.107778
207.0,33,7.132568
247.0,81,7.194799
311.0,55,7.234055
162.0,31,7.25851
214.0,68,7.301943
260.0,54,7.329889
158.0,52,7.356127
228.0,26,7.368008
192.0,33,7.382691
176.0,63,7.408805
175.0,52,7.429842
143.0,29,7.440925
179.0,54,7.464699
246.0,32,7.476907
214.0,57,7.497942
157.0,32,7.510142
152.0,45,7.526999
185.0,28,7.537516
235.0,60,7.562646
200.0,65,8.884987
187.0,39,8.919219
160.0,42,8.95135
149.0,37,8.978981
153.0,37,9.009079
173.0,46,9.042989
149.0,48,9.077002
241.0,39,9.107605
156.0,46,9.134159
172.0,48,9.157988
216.0,32,9.172911
147.0,68,9.205038
163.0,49,9.224741
229.0,37,9.2388
211.0,48,9.257033
207.0,45,9.273559
190.0,32,9.284711
249.0,30,9.295128
198.0,22,9.306229
204.0,27,9.31594
184.0,27,9.325021
177.0,42,9.338763
166.0,60,9.358557
134.0,30,9.368526
243.0,30,9.378231
171.0,29,9.388163
201.0,29,10.82746
198.0,25,10.848276
208.0,29,10.867615
225.0,32,10.888482
254.0,24,10.903922
218.0,21,10.91725
248.0,48,10.946825
215.0,35,10.970748
188.0,25,10.986016
216.0,26,11.002234
177.0,37,11.024016
207.0,21,11.035078
208.0,25,11.047403
189.0,43,11.069329
191.0,39,11.085968
192.0,13,11.09147
203.0,39,11.107072
180.0,28,11.117992
247.0,23,11.126771
258.0,43,11.142686
185.0,37,11.157742
221.0,30,11.16836
213.0,33,11.179881
201.0,22,11.187548
159.0,33,11.198837
206.0,39,11.212106
