#{"t_start": 1730000642.71511, "env_id": "w/TetrisEnv"}
r,l,t
207.0,23,11.219606
231.0,22,11.226763
205.0,33,11.237455
181.0,23,11.244904
176.0,24,11.252612
233.0,24,11.262048
169.0,23,11.269251
199.0,24,11.276923
249.0,45,13.413943
233.0,25,13.438043
182.0,29,13.462866
170.0,21,13.476965
186.0,29,13.496152
167.0,24,13.511759
182.0,14,13.521051
196.0,37,13.544528
220.0,39,13.573125
249.0,26,13.589403
168.0,28,13.606931
182.0,29,13.623669
217.0,29,13.638362
188.0,31,13.652913
192.0,26,13.667907
252.0,32,13.681974
192.0,27,13.693073
233.0,29,13.70507
188.0,28,13.716091
139.0,30,13.727635
231.0,22,13.735958
154.0,29,13.746409
187.0,20,13.75351
181.0,32,13.768304
209.0,37,13.78128
218.0,28,13.791073
194.0,33,13.802541
283.0,26,13.811577
216.0,31,13.821645
210.0,23,13.829432
256.0,29,13.83895
249.0,20,13.845844
244.0,24,13.854036
210.0,24,13.861836
183.0,39,13.877447
220.0,27,13.886031
194.0,39,15.087504
201.0,29,15.120516
223.0,20,15.134393
248.0,35,15.15787
194.0,23,15.173053
217.0,22,15.187347
255.0,20,15.200311
230.0,14,15.212938
169.0,21,15.227057
209.0,15,15.237279
187.0,25,15.253833
162.0,24,15.269287
227.0,21,15.282945
203.0,24,15.298499
133.0,25,15.317224
261.0,17,15.328
219.0,15,15.337681
221.0,29,15.353577
225.0,33,15.369814
213.0,16,15.378067
229.0,19,15.386707
220.0,20,15.395814
238.0,19,15.403916
171.0,14,15.411883
224.0,23,15.421443
259.0,19,15.429277
257.0,34,15.442254
209.0,19,15.449764
192.0,16,15.45605
207.0,14,15.46166
260.0,17,15.467909
187.0,22,15.476002
179.0,21,15.483758
215.0,18,15.490333
172.0,19,15.497239
215.0,21,15.504648
220.0,26,15.515645
170.0,24,15.524038
212.0,21,15.531167
194.0,28,15.540422
112.0,17,15.546352
241.0,17,15.552051
213.0,19,15.558567
177.0,21,15.565667
187.0,20,15.572432
220.0,16,15.577895
222.0,22,15.585296
196.0,24,15.59375
223.0,13,15.598187
227.0,16,18.118344
136.0,22,18.146564
215.0,18,18.15947
244.0,28,18.178962
234.0,15,18.189348
198.0,22,18.20437
221.0,18,18.216509
205.0,15,18.226558
241.0,13,18.238051
232.0,17,18.249509
184.0,14,18.258956
244.0,16,18.269533
223.0,21,18.283339
205.0,18,18.295222
236.0,23,18.310061
213.0,17,18.320009
243.0,21,18.335222
235.0,14,18.342369
227.0,21,18.352854
228.0,16,18.360301
219.0,21,18.369761
210.0,21,18.379001
223.0,14,18.384861
243.0,22,18.394029
251.0,15,18.400181
180.0,26,18.410347
207.0,17,18.416878
192.0,21,18.424959
230.0,15,18.430542
223.0,14,18.439011
209.0,14,18.444611
236.0,18,18.451203
216.0,20,18.45841
223.0,20,18.465606
248.0,20,18.472644
194.0,24,18.481107
231.0,13,18.48571
178.0,15,18.49098
224.0,20,18.49773
176.0,19,18.504117
240.0,24,18.512218
165.0,14,18.517014
241.0,19,18.523443
206.0,20,18.530274
262.0,27,18.54215
223.0,22,18.549443
254.0,24,18.557247
188.0,16,18.562538
277.0,20,18.568895
241.0,22,18.575948
201.0,20,18.582505
212.0,15,18.587303
214.0,12,18.591229
195.0,18,18.597028
223.0,16,18.602231
230.0,14,21.027848
222.0,17,21.047269
211.0,14,21.060729
216.0,15,21.071217
235.0,17,21.082854
210.0,19,21.096675
234.0,11,21.105268
248.0,16,21.117139
206.0,13,21.126485
274.0,20,21.140835
219.0,15,21.151532
231.0,23,21.170709
183.0,17,21.183154
226.0,21,21.198094
251.0,19,21.210551
218.0,14,21.219006
230.0,17,21.228425
226.0,15,21.236267
238.0,16,21.244262
253.0,17,21.252477
240.0,18,21.261019
216.0,25,21.274361
241.0,16,21.281562
232.0,19,21.289698
244.0,14,21.295607
216.0,12,21.300753
223.0,15,21.306993
215.0,24,21.316684
231.0,17,21.323417
219.0,13,21.328546
222.0,13,21.33362
258.0,22,21.341951
241.0,19,21.349256
234.0,15,21.35526
229.0,15,21.36095
243.0,14,21.367969
219.0,13,21.372763
157.0,13,21.37752
217.0,16,21.383157
220.0,16,21.388844
203.0,12,21.393165
248.0,23,21.401342
236.0,17,21.407412
227.0,13,21.41208
203.0,18,21.418188
180.0,14,21.42294
241.0,15,21.427888
217.0,17,21.433475
231.0,15,21.438528
235.0,12,21.442596
227.0,16,21.447993
215.0,19,21.454603
221.0,15,21.459546
251.0,20,21.467622
223.0,14,21.472555
157.0,21,21.479621
221.0,16,21.484971
243.0,18,21.490983
246.0,18,21.496832
252.0,22,21.503929
183.0,15,21.508755
223.0,21,21.515474
255.0,15,22.862344
223.0,16,22.876998
216.0,15,22.889853
217.0,16,22.905775
241.0,16,22.919105
230.0,18,22.933638
232.0,16,22.946276
222.0,15,22.957839
263.0,13,22.967777
253.0,13,22.97787
212.0,13,22.987437
248.0,14,22.997826
189.0,15,23.01173
178.0,13,23.021355
241.0,13,23.030852
202.0,19,23.044747
222.0,13,23.054131
248.0,11,23.062278
200.0,15,23.072765
228.0,11,23.080599
242.0,12,23.087793
223.0,12,23.095152
262.0,17,23.104293
254.0,13,23.113539
230.0,14,23.120472
209.0,18,23.129027
236.0,11,23.134261
234.0,13,23.140327
215.0,18,23.148405
231.0,12,23.153841
199.0,13,23.159658
229.0,16,23.166486
200.0,17,23.173687
230.0,12,23.178884
212.0,12,23.183918
245.0,17,23.190834
225.0,20,23.19864
201.0,16,23.204875
234.0,13,23.211834
225.0,14,23.217375
217.0,16,23.223405
204.0,13,23.228493
209.0,17,23.234866
212.0,19,23.241944
232.0,16,23.247808
243.0,14,23.253058
247.0,15,23.258349
199.0,16,23.264001
207.0,15,23.269354
241.0,15,23.27469
217.0,15,23.28007
222.0,19,23.286814
241.0,15,23.292005
233.0,15,23.297203
240.0,13,23.30169
230.0,15,23.30668
224.0,14,23.313218
195.0,16,23.318847
236.0,16,23.324292
274.0,14,23.329048
246.0,16,23.334447
234.0,13,23.338807
200.0,19,23.345125
215.0,18,23.351058
241.0,12,23.355084
224.0,15,23.360109
230.0,13,23.36448
265.0,18,23.37045
211.0,16,25.285403
222.0,12,25.309154
256.0,14,25.322292
260.0,15,25.334121
246.0,15,25.34548
261.0,13,25.355517
218.0,14,25.365931
218.0,22,25.381757
241.0,13,25.39178
255.0,24,25.412931
225.0,14,25.423136
223.0,15,25.434171
213.0,16,25.445701
226.0,16,25.457222
180.0,20,25.471467
230.0,16,25.482717
214.0,15,25.49165
220.0,13,25.501947
225.0,14,25.509759
260.0,17,25.518945
206.0,16,25.527605
234.0,14,25.534916
228.0,14,25.54172
205.0,16,25.549476
280.0,15,25.556726
223.0,12,25.562361
200.0,16,25.569513
209.0,14,25.575859
240.0,13,25.581615
246.0,11,25.586265
249.0,15,25.592588
190.0,13,25.600052
178.0,11,25.604985
272.0,14,25.611045
259.0,14,25.616969
270.0,13,25.622572
240.0,13,25.627743
221.0,16,25.634085
229.0,13,25.639274
237.0,13,25.644387
228.0,15,25.650071
200.0,18,25.656946
202.0,16,25.662945
202.0,14,25.668307
213.0,23,25.676776
245.0,13,25.681544
231.0,15,25.686807
177.0,17,25.69274
228.0,14,25.697686
215.0,16,25.705425
220.0,14,25.710483
235.0,12,25.71486
235.0,12,25.719136
213.0,17,25.725121
247.0,17,25.731205
252.0,12,25.735522
199.0,20,25.742514
194.0,12,25.746712
222.0,16,25.752103
206.0,14,25.756776
216.0,15,25.761813
182.0,16,25.767355
235.0,12,25.771404
250.0,13,25.775875
237.0,18,25.781881
236.0,16,25.787218
226.0,13,25.791465
230.0,16,25.796809
252.0,15,25.80365
231.0,14,27.672599
216.0,13,27.689815
245.0,15,27.701894
251.0,15,27.713388
213.0,13,27.723344
254.0,15,27.734667
225.0,15,27.745784
264.0,16,27.757523
230.0,11,27.775063
232.0,16,27.786609
212.0,15,27.796761
256.0,15,27.806796
234.0,17,27.817953
223.0,16,27.828345
223.0,17,27.839153
257.0,13,27.847748
240.0,14,27.857147
220.0,15,27.86931
246.0,14,27.87738
251.0,16,27.886575
215.0,13,27.893735
212.0,15,27.901361
243.0,14,27.908399
208.0,17,27.916995
233.0,14,27.923479
213.0,18,27.931582
246.0,13,27.937451
204.0,14,27.943705
212.0,16,27.950467
263.0,22,27.959828
221.0,13,27.965231
243.0,20,27.975255
224.0,12,27.980318
227.0,15,27.986309
252.0,16,27.992824
238.0,13,27.998122
238.0,13,28.003029
241.0,17,28.009506
238.0,11,28.013644
240.0,14,28.018854
281.0,15,28.024376
215.0,14,28.029584
236.0,12,28.033936
230.0,14,28.038982
234.0,18,28.045383
219.0,13,28.050037
224.0,13,28.054571
223.0,12,28.058699
229.0,13,28.063181
211.0,16,28.068722
209.0,15,28.075701
250.0,16,28.081144
227.0,18,28.087216
203.0,16,28.092568
202.0,13,28.097002
241.0,15,28.101864
216.0,15,28.106718
224.0,13,28.111069
231.0,14,28.115592
260.0,14,28.120178
231.0,13,28.124387
267.0,14,28.129017
243.0,13,28.133294
255.0,17,28.138764
224.0,16,28.144162
214.0,15,28.148908
245.0,15,28.153669
231.0,15,28.158437
215.0,20,28.164817
216.0,15,29.564657
247.0,13,29.575497
181.0,14,29.586829
247.0,12,29.596332
200.0,16,29.608804
244.0,11,29.620868
243.0,17,29.634745
219.0,16,29.647015
228.0,11,29.655575
225.0,15,29.666537
228.0,15,29.677674
230.0,13,29.687373
221.0,14,29.697409
227.0,12,29.70622
246.0,14,29.719019
229.0,12,29.7279
231.0,12,29.736781
240.0,16,29.748048
223.0,14,29.757809
233.0,12,29.766001
236.0,14,29.775724
224.0,11,29.78282
199.0,18,29.793396
197.0,13,29.800815
234.0,15,29.80874
213.0,17,29.819957
229.0,17,29.82842
234.0,18,29.837104
218.0,14,29.843995
265.0,17,29.852113
251.0,12,29.857489
219.0,13,29.863385
210.0,11,29.868242
230.0,19,29.876235
230.0,15,29.882617
228.0,12,29.887671
244.0,11,29.892339
211.0,15,29.898577
212.0,18,29.905859
248.0,14,29.911448
249.0,17,29.91995
205.0,14,29.925519
263.0,16,29.931918
266.0,14,29.937452
227.0,13,29.942523
250.0,12,29.947114
219.0,14,29.952378
229.0,13,29.95735
244.0,13,29.962248
223.0,16,29.968313
224.0,15,29.973774
241.0,13,29.978626
241.0,18,29.985088
204.0,15,29.990397
205.0,13,29.994997
217.0,14,29.999963
257.0,15,30.00516
226.0,11,30.009075
270.0,20,30.016099
266.0,15,30.023094
217.0,19,30.029799
238.0,16,30.035268
235.0,14,30.040104
258.0,19,30.046625
221.0,16,30.052057
246.0,14,30.056724
267.0,13,30.061079
229.0,12,30.065307
220.0,12,30.069406
246.0,17,30.07514
255.0,14,30.079955
249.0,15,31.398716
228.0,17,31.41292
218.0,13,31.423418
243.0,18,31.437791
245.0,17,31.451291
220.0,15,31.466014
245.0,13,31.476274
237.0,12,31.48551
230.0,13,31.495271
224.0,13,31.505367
213.0,12,31.514257
247.0,17,31.52634
232.0,13,31.535794
232.0,12,31.544647
243.0,14,31.554695
259.0,13,31.566881
219.0,16,31.578394
241.0,12,31.587219
249.0,13,31.59647
223.0,12,31.605105
224.0,11,31.61292
243.0,13,31.621407
247.0,15,31.630654
243.0,15,31.639577
229.0,12,31.646036
254.0,13,31.653179
219.0,14,31.661896
231.0,12,31.66796
239.0,12,31.673775
241.0,12,31.679622
224.0,16,31.686918
257.0,13,31.692829
250.0,14,31.69914
226.0,17,31.706427
207.0,13,31.711836
218.0,17,31.71879
232.0,11,31.723398
234.0,11,31.72807
188.0,13,31.733347
230.0,13,31.738507
231.0,12,31.743178
237.0,18,31.750348
223.0,12,31.754979
239.0,15,31.760645
266.0,16,31.768521
224.0,18,31.775396
231.0,16,31.781479
253.0,15,31.787022
229.0,15,31.792645
228.0,15,31.798062
203.0,15,31.803316
241.0,16,31.808951
237.0,13,31.813558
232.0,12,31.817898
248.0,15,31.823155
233.0,12,31.827516
223.0,12,31.831766
237.0,13,31.836395
250.0,12,31.840504
225.0,12,31.844659
241.0,15,31.849771
216.0,13,31.854152
228.0,13,31.858582
248.0,15,31.865306
236.0,18,31.871473
241.0,14,31.876221
256.0,13,31.880633
231.0,12,31.88471
257.0,13,31.889151
243.0,15,31.894161
236.0,11,31.89793
229.0,13,31.902325
252.0,14,31.906933
219.0,14,31.911512
231.0,13,33.268367
232.0,13,33.279589
246.0,11,33.288764
250.0,11,33.300553
235.0,12,33.310537
235.0,12,33.320065
247.0,13,33.330335
231.0,12,33.33977
243.0,15,33.351523
247.0,15,33.363038
188.0,15,33.374068
247.0,17,33.387173
251.0,13,33.397071
250.0,11,33.407937
198.0,12,33.416995
255.0,16,33.428961
198.0,13,33.438555
227.0,13,33.448046
232.0,14,33.457985
242.0,12,33.466618
206.0,12,33.475156
244.0,14,33.485089
236.0,12,33.492299
263.0,14,33.500982
263.0,13,33.510271
249.0,13,33.517484
248.0,15,33.525561
259.0,13,33.53231
250.0,12,33.538143
233.0,12,33.543996
252.0,12,33.549971
248.0,13,33.556136
244.0,12,33.561585
232.0,12,33.566886
240.0,11,33.571727
246.0,14,33.577792
232.0,15,33.58425
242.0,12,33.589391
230.0,11,33.594472
229.0,12,33.599398
231.0,13,33.606405
237.0,12,33.611307
225.0,15,33.617253
217.0,12,33.622066
214.0,13,33.627346
213.0,13,33.632362
229.0,12,33.636913
237.0,12,33.641949
226.0,13,33.64699
240.0,11,33.651235
237.0,13,33.656132
226.0,11,33.66021
250.0,14,33.665367
262.0,15,33.670746
231.0,12,33.675105
202.0,15,33.680524
241.0,14,33.685619
246.0,12,33.689867
234.0,14,33.694892
245.0,14,33.699785
189.0,17,33.707298
222.0,13,33.711823
223.0,14,33.716679
221.0,14,33.721512
251.0,13,33.725944
235.0,13,33.730392
234.0,11,33.7341
238.0,11,33.737844
243.0,12,33.74189
219.0,11,33.745702
250.0,13,33.750179
231.0,12,33.75435
237.0,13,33.758592
225.0,12,33.76268
204.0,12,33.766644
233.0,12,33.770661
253.0,15,33.77556
244.0,11,33.779314
228.0,13,33.783676
230.0,15,35.089948
218.0,14,35.102086
232.0,13,35.113259
232.0,14,35.124711
224.0,14,35.135723
225.0,12,35.14855
216.0,19,35.164051
224.0,13,35.174
228.0,11,35.182487
226.0,12,35.191566
226.0,11,35.200075
236.0,11,35.208372
252.0,14,35.219183
223.0,13,35.228872
221.0,16,35.240454
241.0,12,35.252412
230.0,11,35.261009
225.0,14,35.271215
232.0,11,35.279822
232.0,11,35.287913
224.0,12,35.296558
238.0,13,35.305941
254.0,14,35.31523
239.0,15,35.324353
229.0,12,35.331167
236.0,12,35.337808
242.0,11,35.343674
248.0,17,35.35411
250.0,14,35.361078
218.0,12,35.367009
204.0,14,35.373673
244.0,11,35.378932
234.0,13,35.384874
193.0,13,35.390597
230.0,12,35.396005
224.0,11,35.400681
223.0,13,35.406368
230.0,12,35.411522
215.0,11,35.416027
226.0,13,35.421172
247.0,14,35.426832
230.0,11,35.431116
234.0,11,35.435603
233.0,12,35.440231
248.0,12,35.444876
251.0,14,35.452145
222.0,14,35.457621
210.0,13,35.462633
230.0,13,35.467515
218.0,12,35.472063
230.0,16,35.478055
231.0,12,35.482488
224.0,11,35.486456
235.0,14,35.49147
219.0,14,35.496512
252.0,13,35.501176
232.0,12,35.505753
238.0,12,35.510111
236.0,15,35.515414
235.0,14,35.520229
224.0,13,35.524686
236.0,12,35.528806
230.0,11,35.532605
234.0,13,35.537077
241.0,13,35.541436
197.0,13,35.545835
265.0,13,35.551988
236.0,11,35.555893
244.0,13,35.560421
200.0,18,35.566381
236.0,11,35.570035
210.0,15,35.574985
232.0,11,35.578752
249.0,15,35.58374
213.0,16,35.588939
244.0,11,35.592611
242.0,14,35.597273
227.0,12,35.601324
225.0,12,35.605328
272.0,12,35.609232
239.0,13,36.917161
229.0,12,36.926961
248.0,14,36.938421
234.0,14,36.949722
250.0,17,36.963585
252.0,12,36.973284
224.0,12,36.985233
247.0,14,36.99666
248.0,11,37.005358
262.0,12,37.014575
223.0,13,37.02463
228.0,11,37.032982
255.0,13,37.042793
239.0,13,37.05262
214.0,14,37.062994
240.0,13,37.072727
242.0,13,37.082026
247.0,13,37.094039
245.0,12,37.103156
233.0,12,37.111946
227.0,12,37.120819
263.0,13,37.129241
234.0,13,37.137128
236.0,11,37.143568
227.0,12,37.150154
237.0,14,37.157856
208.0,13,37.164582
224.0,12,37.170562
238.0,11,37.175974
228.0,11,37.181095
228.0,13,37.188785
215.0,12,37.194674
231.0,13,37.200548
241.0,12,37.205808
232.0,11,37.210547
226.0,14,37.216473
228.0,11,37.221179
238.0,14,37.227166
243.0,12,37.232379
218.0,15,37.238437
238.0,11,37.242877
253.0,13,37.248174
224.0,11,37.252638
263.0,13,37.258008
211.0,13,37.263111
244.0,12,37.267849
232.0,11,37.272009
245.0,13,37.27688
213.0,15,37.282555
208.0,14,37.287756
234.0,11,37.293589
210.0,12,37.297911
225.0,11,37.301938
227.0,12,37.306267
235.0,12,37.310577
234.0,14,37.315609
231.0,14,37.320538
241.0,15,37.325893
230.0,11,37.329916
217.0,12,37.334234
236.0,12,37.338378
219.0,12,37.342532
232.0,13,37.347077
264.0,15,37.352182
259.0,14,37.357138
222.0,13,37.361615
217.0,14,37.366598
230.0,14,37.371433
205.0,12,37.375566
235.0,14,37.380311
241.0,12,37.384379
226.0,13,37.388663
232.0,13,37.394814
229.0,12,37.398839
230.0,12,37.402941
247.0,16,37.408293
248.0,12,37.412287
244.0,11,37.415995
234.0,11,37.419688
240.0,12,37.423651
248.0,14,38.732562
244.0,12,38.742562
266.0,12,38.7525
253.0,13,38.763258
239.0,15,38.775372
236.0,11,38.784153
229.0,12,38.793584
237.0,13,38.803729
224.0,11,38.812376
233.0,13,38.822297
239.0,14,38.835664
236.0,11,38.844116
246.0,13,38.854058
248.0,11,38.862425
265.0,13,38.872295
248.0,14,38.882631
213.0,12,38.891401
229.0,12,38.900233
254.0,12,38.908909
271.0,16,38.920398
224.0,11,38.930722
245.0,13,38.940286
254.0,12,38.949108
233.0,12,38.957149
229.0,12,38.964773
272.0,14,38.973359
232.0,11,38.979599
232.0,11,38.985571
229.0,14,38.99318
234.0,11,38.998786
239.0,13,39.005178
236.0,13,39.011625
230.0,11,39.016734
249.0,13,39.022624
252.0,14,39.030805
227.0,12,39.036168
246.0,14,39.042089
232.0,11,39.046923
233.0,12,39.051996
261.0,13,39.057472
262.0,14,39.063415
237.0,12,39.068653
232.0,14,39.074354
228.0,11,39.078811
250.0,12,39.083519
265.0,13,39.088622
240.0,11,39.093032
248.0,11,39.097504
224.0,13,39.102423
232.0,11,39.106621
241.0,13,39.111537
232.0,11,39.115718
238.0,14,39.120866
236.0,12,39.125225
258.0,17,39.13311
238.0,11,39.137238
234.0,11,39.141213
252.0,11,39.145269
224.0,11,39.149318
229.0,12,39.153632
244.0,12,39.157922
248.0,12,39.162212
234.0,12,39.166428
244.0,11,39.170508
229.0,12,39.174747
243.0,14,39.17961
216.0,15,39.184705
216.0,14,39.189467
235.0,12,39.193576
240.0,12,39.197787
244.0,11,39.201571
242.0,12,39.205595
232.0,11,39.209262
249.0,13,39.213591
244.0,14,39.21815
238.0,11,39.221866
248.0,14,39.22652
235.0,12,39.230526
229.0,15,39.237126
231.0,12,39.241214
234.0,11,39.244872
224.0,11,39.248573
216.0,14,39.253178
248.0,12,40.782349
229.0,12,40.796726
233.0,12,40.805073
223.0,12,40.813165
228.0,15,40.823092
236.0,13,40.831705
240.0,11,40.838796
233.0,12,40.846572
227.0,12,40.85421
226.0,13,40.862585
248.0,12,40.870229
230.0,11,40.881576
254.0,12,40.889389
229.0,12,40.897031
231.0,12,40.904616
219.0,12,40.912094
223.0,12,40.919573
224.0,11,40.92644
247.0,12,40.933655
221.0,12,40.940934
228.0,11,40.947621
234.0,11,40.954329
256.0,12,40.961672
239.0,12,40.968598
237.0,13,40.975582
254.0,11,40.983849
230.0,12,40.990054
250.0,12,40.995899
273.0,14,41.00251
228.0,11,41.00769
252.0,13,41.013853
211.0,14,41.019974
245.0,13,41.025568
234.0,11,41.030337
238.0,11,41.035082
230.0,11,41.039689
244.0,11,41.044209
242.0,12,41.049085
252.0,12,41.054019
224.0,11,41.058318
231.0,12,41.062923
240.0,12,41.067744
228.0,11,41.071944
230.0,11,41.076186
230.0,11,41.082479
224.0,11,41.086602
239.0,15,41.091979
244.0,13,41.096738
249.0,12,41.101141
215.0,11,41.105151
230.0,12,41.10949
232.0,11,41.113499
242.0,11,41.117476
208.0,12,41.121763
234.0,11,41.125611
262.0,12,41.129764
228.0,12,41.133994
224.0,11,41.137829
234.0,11,41.141609
248.0,13,41.146054
227.0,12,41.150138
233.0,12,41.154253
231.0,13,41.158506
255.0,17,41.164156
198.0,13,41.168452
242.0,12,41.172529
256.0,12,41.176517
231.0,13,41.182475
226.0,11,41.186363
208.0,12,41.190407
231.0,15,41.195385
221.0,12,41.199381
244.0,12,41.203418
238.0,12,41.207336
264.0,13,41.211529
251.0,13,41.215806
233.0,13,41.219973
244.0,11,41.223499
237.0,13,41.227585
242.0,12,41.231422
236.0,11,41.234876
264.0,12,41.238608
244.0,11,41.242032
235.0,13,41.246212
230.0,11,41.249965
228.0,11,43.643488
252.0,12,43.660581
233.0,12,43.669018
238.0,12,43.67692
228.0,11,43.684078
235.0,13,43.69674
228.0,11,43.703806
252.0,12,43.711505
221.0,12,43.719128
253.0,13,43.727304
228.0,11,43.73424
239.0,12,43.74178
242.0,11,43.74866
250.0,12,43.755977
243.0,13,43.763871
206.0,14,43.772389
234.0,11,43.779253
236.0,13,43.78703
227.0,12,43.803138
246.0,12,43.813321
253.0,13,43.82125
228.0,11,43.827262
257.0,14,43.834819
275.0,14,43.842464
229.0,13,43.848963
229.0,13,43.855251
231.0,12,43.861062
234.0,12,43.866636
232.0,11,43.871628
229.0,13,43.877638
252.0,12,43.882801
269.0,13,43.888258
254.0,12,43.893434
232.0,13,43.900984
225.0,15,43.907274
242.0,13,43.912763
234.0,11,43.917536
259.0,13,43.9227
233.0,13,43.9279
229.0,13,43.933065
228.0,11,43.937433
244.0,11,43.941774
251.0,13,43.946916
255.0,13,43.951879
224.0,11,43.956055
226.0,14,43.961434
243.0,12,43.965982
255.0,13,43.970955
247.0,12,43.9754
243.0,13,43.980137
223.0,12,43.984459
236.0,11,43.988414
237.0,12,43.992651
210.0,12,43.998693
253.0,13,44.003516
250.0,12,44.007819
224.0,11,44.011912
248.0,11,44.015978
230.0,13,44.020648
236.0,11,44.024498
254.0,12,44.02868
242.0,12,44.03269
229.0,12,44.036804
226.0,11,44.040563
252.0,13,44.044956
211.0,14,44.049664
226.0,11,44.053497
224.0,13,44.057894
234.0,11,44.061686
232.0,11,44.065473
241.0,13,44.069768
230.0,11,44.073418
260.0,12,44.077445
237.0,12,44.081434
237.0,12,44.085393
249.0,12,44.089301
231.0,13,44.093492
247.0,13,44.09762
272.0,15,44.104217
237.0,12,44.108249
232.0,11,44.111912
250.0,12,44.115893
242.0,11,44.119586
233.0,12,45.842282
228.0,12,45.856114
238.0,11,45.865756
229.0,13,45.875903
233.0,13,45.886309
236.0,11,45.895007
224.0,11,45.903455
270.0,13,45.913509
247.0,15,45.92414
236.0,11,45.932515
241.0,13,45.94152
229.0,14,45.954245
250.0,12,45.963226
220.0,12,45.971946
230.0,11,45.979934
250.0,12,45.988184
248.0,11,45.995905
230.0,11,46.003551
231.0,12,46.012029
236.0,12,46.020148
225.0,12,46.028229
236.0,11,46.035569
242.0,11,46.042854
241.0,12,46.050802
206.0,12,46.06166
246.0,12,46.070093
241.0,12,46.0777
241.0,13,46.085325
252.0,14,46.093121
227.0,12,46.099924
242.0,11,46.105508
228.0,11,46.111138
243.0,13,46.117669
208.0,12,46.12335
239.0,13,46.129573
253.0,15,46.136514
226.0,11,46.141537
256.0,12,46.146836
248.0,12,46.151967
225.0,12,46.160943
260.0,13,46.166085
242.0,11,46.170316
218.0,12,46.174918
237.0,13,46.18002
214.0,13,46.185051
248.0,12,46.189623
210.0,14,46.194948
220.0,13,46.199949
237.0,13,46.204649
227.0,12,46.209048
224.0,11,46.213
268.0,16,46.218762
232.0,11,46.222817
233.0,12,46.227229
245.0,13,46.23175
255.0,13,46.236314
250.0,12,46.24049
264.0,12,46.244763
224.0,11,46.248539
232.0,13,46.252948
221.0,13,46.258929
246.0,12,46.263129
201.0,14,46.267791
249.0,13,46.272044
225.0,13,46.276436
230.0,11,46.280156
234.0,14,46.284911
248.0,14,46.289577
258.0,12,46.2935
246.0,11,46.297226
247.0,13,46.301529
243.0,13,46.305841
238.0,11,46.309402
236.0,11,46.313
236.0,11,46.316506
229.0,12,46.320266
226.0,11,46.323769
233.0,12,46.327618
228.0,11,46.33108
237.0,12,46.334885
234.0,11,46.338401
236.0,13,46.342477
235.0,12,46.346303
237.0,12,46.350114
236.0,11,48.104275
250.0,12,48.117669
243.0,12,48.126986
217.0,13,48.140512
246.0,11,48.14853
246.0,11,48.156559
227.0,12,48.165145
238.0,14,48.175015
235.0,12,48.183472
224.0,11,48.190939
218.0,13,48.19984
240.0,11,48.207443
238.0,12,48.215699
236.0,11,48.222922
224.0,12,48.230979
243.0,13,48.24244
267.0,13,48.251257
253.0,13,48.260139
240.0,11,48.267418
240.0,11,48.274824
