#{"t_start": 1730000557.6334224, "env_id": "w/TetrisEnv"}
r,l,t
14.0,145,0.559664
160.0,100,0.586242
143.0,111,0.614892
28.0,193,0.667988
123.0,112,0.697181
122.0,135,0.734497
101.0,89,0.758018
157.0,75,0.777708
147.0,170,2.061465
103.0,79,2.090765
180.0,79,2.119257
121.0,127,2.162126
226.0,57,2.180928
145.0,135,2.225245
88.0,85,2.26284
119.0,89,2.290197
59.0,117,2.327377
137.0,69,2.349982
156.0,46,2.366659
134.0,67,3.939459
118.0,37,3.954048
175.0,47,3.969967
227.0,78,3.994294
217.0,60,4.012586
154.0,88,4.051675
229.0,112,4.084472
212.0,47,4.098342
159.0,46,4.111816
203.0,56,4.130939
197.0,39,4.143071
174.0,79,4.166866
182.0,65,4.186184
173.0,33,4.196052
154.0,62,4.21446
229.0,69,4.237125
219.0,62,4.256512
