#{"t_start": 1730007685.9748025, "env_id": "w/TetrisEnv"}
r,l,t
1238.0,102,0.890248
1215.0,103,0.935437
756.0,94,0.981703
803.0,84,1.01781
574.0,108,1.069183
2649.0,162,1.139678
2515.0,134,1.200619
927.0,90,1.239869
1765.0,145,1.305367
1283.0,99,8.353875
1155.0,87,8.402688
661.0,87,8.45103
1965.0,92,8.492441
2795.0,183,8.572026
4358.0,230,8.671342
2969.0,151,8.734198
218.0,53,8.759202
193.0,74,15.386664
1043.0,69,15.426552
1283.0,135,15.486319
1266.0,102,15.52957
2331.0,116,15.581115
3236.0,120,15.632345
4488.0,178,15.710923
829.0,127,15.764627
819.0,99,15.809876
3099.0,169,22.11481
2718.0,115,22.194358
2667.0,123,22.27781
2893.0,117,22.358397
422.0,44,22.38755
1802.0,98,22.454632
5242.0,178,22.575398
2845.0,145,22.6734
4287.0,131,29.714743
3699.0,151,29.80678
2367.0,119,29.857466
1070.0,61,29.88314
4907.0,221,29.979304
3670.0,109,30.028373
4481.0,125,30.08138
7790.0,204,36.038812
2800.0,141,36.155333
5220.0,185,36.237832
4919.0,197,36.326218
2267.0,93,36.366858
6690.0,200,36.455402
4500.0,173,36.532604
18512.0,307,44.042139
1288.0,134,44.101234
10928.0,232,44.208742
16714.0,275,44.332428
8083.0,166,51.897849
8275.0,203,52.036158
2913.0,89,52.099013
14495.0,293,52.300671
11013.0,209,52.442682
6044.0,153,52.547688
7301.0,180,59.53014
9994.0,199,59.57645
7047.0,142,59.610827
15406.0,289,59.676244
5180.0,144,59.711159
9829.0,177,60.905819
7481.0,138,60.9408
23081.0,344,61.01888
6653.0,159,61.057775
6803.0,166,61.095534
31299.0,288,62.717376
19025.0,281,62.78004
3431.0,94,62.802839
20750.0,266,62.862413
14001.0,257,64.615943
28419.0,328,64.694159
14070.0,283,64.757159
15508.0,213,64.80661
5370.0,107,64.830872
19004.0,263,66.540609
5488.0,164,66.581139
16306.0,262,66.64155
5564.0,116,66.671031
17832.0,248,66.72776
36303.0,367,67.878479
16145.0,208,67.928855
14615.0,198,67.974307
17125.0,229,68.029403
7416.0,165,69.367266
13833.0,174,69.406528
16082.0,210,69.455849
10526.0,229,69.506784
9021.0,199,69.554162
17420.0,336,71.10086
25118.0,347,71.179064
6277.0,169,71.219138
9949.0,195,71.26274
14203.0,236,73.001279
14341.0,182,73.042809
26873.0,234,73.097311
10500.0,137,73.128148
18451.0,263,73.18883
22167.0,279,74.719598
34374.0,379,74.807571
10563.0,158,74.845644
21686.0,269,75.991519
17890.0,201,76.050162
5208.0,109,76.076258
27365.0,338,76.156113
20581.0,202,76.201766
25947.0,309,77.807998
