#{"t_start": 1730007685.9748025, "env_id": "w/TetrisEnv"}
r,l,t
26060.0,286,77.877534
49836.0,483,77.992207
14281.0,181,79.117099
26771.0,306,79.318163
27401.0,391,79.479998
23506.0,286,80.775731
21910.0,264,80.955352
31374.0,436,81.155117
32667.0,307,82.467535
12093.0,240,82.627256
22013.0,221,82.750727
38446.0,476,82.926937
19419.0,321,84.423811
45770.0,475,84.664839
31200.0,386,86.172388
16284.0,251,86.332264
19103.0,321,87.304504
36131.0,437,88.686831
29045.0,312,88.883214
10068.0,409,89.045428
19402.0,396,90.461443
30492.0,387,90.668032
39828.0,474,92.032772
13016.0,261,92.210919
32893.0,426,92.403384
17117.0,415,93.915566
24644.0,256,94.077067
33268.0,538,94.288555
27101.0,416,95.725563
26537.0,386,95.892052
17661.0,375,97.54098
25424.0,426,97.805016
33988.0,531,97.999275
19357.0,321,99.640486
15549.0,546,99.87413
10215.0,267,101.67084
21684.0,295,101.851205
27852.0,429,102.015142
17180.0,376,104.564042
16092.0,231,104.702894
29005.0,531,104.895881
42826.0,478,106.471712
34193.0,456,106.649868
22818.0,271,108.592226
25876.0,381,108.817973
20260.0,486,108.994854
19093.0,341,110.371565
32270.0,546,110.614491
14556.0,421,112.110115
19804.0,356,112.294596
11273.0,646,113.788365
19962.0,372,113.986803
19982.0,551,115.416096
17882.0,581,115.714614
14934.0,581,117.172457
13580.0,491,117.403711
15356.0,316,117.508863
7692.0,541,119.498405
11053.0,341,119.615658
17976.0,451,121.223471
11594.0,391,121.388752
13897.0,646,123.011679
10304.0,406,123.187556
19027.0,421,124.793496
14912.0,586,125.117121
32575.0,676,126.782223
14947.0,367,126.931402
15581.0,471,128.455138
40032.0,921,130.210384
39369.0,696,130.579495
9862.0,531,132.177966
38727.0,1136,134.972595
19608.0,476,135.15731
14516.0,471,136.723197
10929.0,671,136.993221
7480.0,511,139.307842
17087.0,406,139.463728
26111.0,423,140.987919
18896.0,752,141.303191
11421.0,666,142.971878
28004.0,419,145.730434
17631.0,391,145.981164
23825.0,441,146.146315
25396.0,666,148.39673
12527.0,556,149.937235
10945.0,611,150.282917
21197.0,421,151.742574
6164.0,531,152.043393
16027.0,436,152.192034
16826.0,516,153.819397
13096.0,914,155.672341
9228.0,446,155.839621
10082.0,421,157.696687
17800.0,371,157.88395
17738.0,526,159.492965
20798.0,708,159.823513
19265.0,631,161.731459
17393.0,416,161.884364
19059.0,471,164.553452
14538.0,521,164.753145
14608.0,601,167.334444
8132.0,601,167.565128
13796.0,476,169.670491
15570.0,436,169.824952
16912.0,481,172.611302
22396.0,706,174.122362
12102.0,406,174.373009
27662.0,501,174.555403
10668.0,571,176.140599
10755.0,633,177.623318
17643.0,421,177.858306
21472.0,456,178.021557
19981.0,476,179.651352
18820.0,636,181.100958
14975.0,411,181.351289
17120.0,466,181.521781
22569.0,526,183.040833
21024.0,576,183.260715
15529.0,506,185.6852
17051.0,499,185.833684
8594.0,551,187.345396
14793.0,576,189.027878
6740.0,696,189.387469
9395.0,636,190.914855
16858.0,511,191.109962
25864.0,426,193.878166
18447.0,496,194.075267
10818.0,676,195.630265
10036.0,486,195.814254
10750.0,420,198.070568
10260.0,601,198.302636
4610.0,471,201.176972
8174.0,506,201.366708
10218.0,546,203.389123
6686.0,551,203.634584
7016.0,701,205.347199
5770.0,596,206.876378
16914.0,506,207.115063
7644.0,546,208.784915
6004.0,471,209.000637
8392.0,561,210.724896
18558.0,571,210.978198
27412.0,571,212.647682
25803.0,591,212.880812
15586.0,541,214.441401
14638.0,601,215.87046
8806.0,671,216.234366
6666.0,611,217.723754
6240.0,646,217.988837
11466.0,556,219.549793
22606.0,481,219.726627
7134.0,611,221.947917
7986.0,496,222.124916
10605.0,496,223.982069
12787.0,651,225.838941
13988.0,596,226.107966
9052.0,651,227.774217
19462.0,666,228.011209
18296.0,516,230.988102
29567.0,516,231.172779
37506.0,596,232.811854
17152.0,501,235.238609
9727.0,566,235.532047
6872.0,671,238.002919
26232.0,601,238.251179
18542.0,484,240.937793
18214.0,511,241.131725
5890.0,606,242.77006
14940.0,426,242.929352
4730.0,491,244.712885
18648.0,521,244.909811
8050.0,681,247.026131
16628.0,551,248.939986
10816.0,416,249.201102
15855.0,611,251.998641
6490.0,666,252.336719
8804.0,636,253.950247
20817.0,536,254.155185
20154.0,571,255.656673
48269.0,1476,257.567657
6410.0,656,259.481775
6160.0,631,261.116268
9766.0,581,261.429047
14322.0,636,263.059848
27516.0,591,263.321334
9143.0,525,265.217754
19980.0,586,265.448182
5442.0,551,267.084024
8732.0,601,268.678011
6950.0,716,269.061687
8554.0,616,270.717748
9252.0,616,270.948812
8160.0,561,272.571471
11850.0,541,274.18855
19136.0,471,274.486834
10404.0,596,276.041774
24370.0,461,276.313362
7194.0,596,277.847595
9658.0,631,278.181077
28210.0,581,279.886599
6220.0,636,280.141611
6440.0,656,282.067059
12640.0,591,283.620741
18088.0,571,283.902119
7049.0,589,286.324108
14948.0,546,286.488837
8892.0,631,288.116717
6082.0,621,289.960692
7136.0,641,290.326339
6300.0,646,291.972851
6280.0,641,292.231916
10654.0,676,295.334349
8288.0,621,298.311939
9498.0,571,298.628051
8918.0,631,300.774242
6470.0,661,301.026124
16212.0,511,303.662353
13230.0,611,306.709402
9301.0,506,306.992775
20336.0,521,310.071687
6190.0,631,310.439852
18530.0,596,313.382222
9588.0,596,313.626769
16050.0,646,315.571975
9046.0,471,315.740433
7948.0,631,317.417063
8622.0,651,320.340196
13720.0,691,320.629162
5870.0,601,322.586946
6978.0,536,322.772192
7836.0,661,324.952443
9684.0,559,327.560575
11507.0,586,327.837314
6290.0,641,329.552125
6692.0,651,331.015845
6550.0,671,331.372035
8860.0,571,332.86799
5800.0,596,333.140535
10708.0,641,334.777734
5740.0,591,336.299568
11293.0,716,336.699862
17436.0,521,338.294156
5770.0,591,338.586315
6210.0,636,340.202949
16002.0,546,340.413019
14756.0,571,344.401465
27201.0,531,346.965973
7140.0,615,347.273452
12781.0,556,350.209978
14992.0,571,350.462099
7198.0,686,353.360113
13866.0,546,353.580577
6350.0,651,356.110145
6250.0,641,359.272952
14883.0,681,359.562757
10204.0,576,361.126282
9343.0,681,362.661978
5616.0,551,362.94316
6240.0,636,365.376664
9770.0,546,365.618055
12620.0,646,367.563073
6896.0,649,369.222332
5986.0,581,369.535718
6930.0,706,371.15631
6532.0,581,371.38871
9680.0,983,373.079427
6650.0,681,374.714462
6270.0,641,376.229284
5050.0,516,376.501842
5780.0,591,378.589611
22624.0,526,378.829751
6470.0,661,381.896386
9800.0,631,382.121892
9010.0,666,384.589866
10080.0,601,387.765378
6296.0,621,388.02801
6280.0,641,390.874036
21388.0,511,391.08293
9213.0,621,393.674581
8184.0,651,395.356306
16188.0,621,395.644897
22124.0,556,397.376215
6390.0,651,397.618585
21280.0,636,399.527291
7144.0,546,401.044903
6480.0,661,401.368786
6210.0,636,404.53244
6430.0,656,406.034126
7089.0,706,406.401269
6320.0,646,408.285161
6170.0,631,408.540456
18231.0,616,410.362571
14530.0,586,413.295981
10178.0,801,413.687925
6440.0,656,415.418333
12242.0,626,418.556807
6830.0,696,418.868803
17302.0,591,421.998845
7160.0,731,423.736184
6820.0,696,424.058123
17750.0,606,425.89929
7651.0,556,426.099902
6030.0,616,427.741976
7972.0,501,429.24831
7350.0,751,429.631701
6600.0,676,431.44121
6240.0,636,434.568319
13760.0,546,434.857753
7241.0,631,436.758612
8620.0,651,437.038193
10807.0,536,440.247465
6480.0,661,442.01563
27016.0,606,442.349401
6390.0,651,445.119102
6080.0,626,445.398451
8172.0,701,448.005705
6920.0,706,450.696333
8240.0,656,450.972967
6970.0,711,454.172157
16622.0,591,455.941005
12378.0,626,456.238367
6340.0,646,458.027805
11298.0,571,458.237039
10552.0,611,461.210416
9632.0,521,463.704316
6430.0,656,464.865892
6420.0,655,466.778246
5120.0,526,466.986575
6670.0,681,468.841017
6280.0,641,471.593477
17212.0,586,471.861768
8028.0,651,474.529783
6888.0,701,477.549372
6120.0,626,477.869271
5890.0,601,480.797029
6584.0,631,481.053695
6402.0,641,483.716363
9054.0,616,486.730183
8784.0,581,487.04275
5590.0,571,489.800586
11824.0,571,490.062227
8854.0,596,491.652729
6530.0,666,491.921309
6830.0,696,493.736576
16110.0,1626,497.472926
7075.0,671,497.747643
5920.0,606,499.510568
7070.0,721,501.209619
7730.0,526,501.444689
7320.0,746,503.449194
6760.0,691,505.269152
6190.0,631,505.585661
13073.0,626,508.746281
7180.0,731,512.200358
6880.0,701,512.539699
6430.0,656,515.842088
7974.0,616,516.069506
10254.0,626,518.135664
5920.0,606,521.532241
11035.0,636,521.800632
17700.0,636,525.256137
10488.0,676,528.373873
7717.0,621,528.713294
9394.0,581,531.068155
15836.0,586,531.313762
6770.0,691,533.319006
6760.0,691,536.150617
6520.0,666,536.428079
6870.0,701,539.870594
8204.0,636,541.662246
7170.0,731,542.003236
17025.0,481,543.648446
6960.0,711,545.395442
12065.0,736,545.759841
6720.0,686,547.384605
10700.0,526,547.571274
8394.0,611,549.222988
11806.0,641,550.762367
10864.0,591,551.043559
49272.0,1851,555.994779
